Sex,Blood Type,Rhesus,Count
0,0,0,931
0,0,1,583
0,0,2,962
0,0,3,691
0,0,4,508
0,0,5,867
0,0,6,783
0,0,7,362
0,0,8,756
0,0,9,137
0,1,0,857
0,1,1,848
0,1,2,750
0,1,3,709
0,1,4,428
0,1,5,34
0,1,6,456
0,1,7,259
0,1,8,873
0,1,9,354
0,2,0,506
0,2,1,515
0,2,2,376
0,2,3,276
0,2,4,370
0,2,5,334
0,2,6,542
0,2,7,669
0,2,8,328
0,2,9,35
0,3,0,671
0,3,1,97
0,3,2,4
0,3,3,730
0,3,4,913
0,3,5,995
0,3,6,733
0,3,7,211
0,3,8,405
0,3,9,90
0,4,0,100
0,4,1,246
0,4,2,492
0,4,3,697
0,4,4,84
0,4,5,181
0,4,6,21
0,4,7,20
0,4,8,283
0,4,9,446
0,5,0,373
0,5,1,18
0,5,2,504
0,5,3,350
0,5,4,354
0,5,5,441
0,5,6,699
0,5,7,950
0,5,8,208
0,5,9,560
0,6,0,912
0,6,1,767
0,6,2,722
0,6,3,47
0,6,4,60
0,6,5,927
0,6,6,221
0,6,7,875
0,6,8,716
0,6,9,773
0,7,0,530
0,7,1,383
0,7,2,850
0,7,3,463
0,7,4,252
0,7,5,886
0,7,6,340
0,7,7,810
0,7,8,482
0,7,9,149
0,8,0,517
0,8,1,688
0,8,2,155
0,8,3,563
0,8,4,494
0,8,5,559
0,8,6,53
0,8,7,369
0,8,8,932
0,8,9,987
0,9,0,705
0,9,1,262
0,9,2,440
0,9,3,725
0,9,4,342
0,9,5,362
0,9,6,480
0,9,7,248
0,9,8,462
0,9,9,576
0,10,0,762
0,10,1,800
0,10,2,1000
0,10,3,648
0,10,4,442
0,10,5,997
0,10,6,307
0,10,7,352
0,10,8,762
0,10,9,137
0,11,0,915
0,11,1,740
0,11,2,624
0,11,3,965
0,11,4,634
0,11,5,331
0,11,6,244
0,11,7,692
0,11,8,410
0,11,9,386
0,12,0,63
0,12,1,840
0,12,2,713
0,12,3,927
0,12,4,671
0,12,5,995
0,12,6,895
0,12,7,228
0,12,8,865
0,12,9,980
0,13,0,722
0,13,1,378
0,13,2,472
0,13,3,164
0,13,4,598
0,13,5,174
0,13,6,816
0,13,7,666
0,13,8,744
0,13,9,456
0,14,0,387
0,14,1,704
0,14,2,859
0,14,3,600
0,14,4,95
0,14,5,16
0,14,6,823
0,14,7,483
0,14,8,286
0,14,9,135
0,15,0,435
0,15,1,847
0,15,2,833
0,15,3,946
0,15,4,53
0,15,5,905
0,15,6,36
0,15,7,782
0,15,8,778
0,15,9,889
0,16,0,63
0,16,1,457
0,16,2,99
0,16,3,962
0,16,4,30
0,16,5,143
0,16,6,663
0,16,7,478
0,16,8,308
0,16,9,472
0,17,0,368
0,17,1,796
0,17,2,834
0,17,3,56
0,17,4,205
0,17,5,545
0,17,6,523
0,17,7,229
0,17,8,802
0,17,9,502
0,18,0,100
0,18,1,915
0,18,2,802
0,18,3,341
0,18,4,536
0,18,5,823
0,18,6,842
0,18,7,112
0,18,8,596
0,18,9,688
0,19,0,830
0,19,1,725
0,19,2,868
0,19,3,70
0,19,4,594
0,19,5,149
0,19,6,527
0,19,7,173
0,19,8,444
0,19,9,523
0,20,0,454
0,20,1,122
0,20,2,720
0,20,3,816
0,20,4,179
0,20,5,335
0,20,6,670
0,20,7,125
0,20,8,643
0,20,9,7
0,21,0,250
0,21,1,97
0,21,2,702
0,21,3,641
0,21,4,357
0,21,5,154
0,21,6,574
0,21,7,957
0,21,8,30
0,21,9,514
0,22,0,317
0,22,1,843
0,22,2,509
0,22,3,321
0,22,4,284
0,22,5,858
0,22,6,504
0,22,7,999
0,22,8,550
0,22,9,78
0,23,0,831
0,23,1,922
0,23,2,316
0,23,3,932
0,23,4,750
0,23,5,510
0,23,6,196
0,23,7,797
0,23,8,670
0,23,9,768
0,24,0,833
0,24,1,134
0,24,2,243
0,24,3,914
0,24,4,258
0,24,5,85
0,24,6,476
0,24,7,876
0,24,8,726
0,24,9,292
0,25,0,818
0,25,1,170
0,25,2,182
0,25,3,326
0,25,4,638
0,25,5,720
0,25,6,870
0,25,7,438
0,25,8,626
0,25,9,497
0,26,0,111
0,26,1,522
0,26,2,686
0,26,3,943
0,26,4,545
0,26,5,558
0,26,6,778
0,26,7,99
0,26,8,975
0,26,9,368
0,27,0,216
0,27,1,719
0,27,2,114
0,27,3,6
0,27,4,142
0,27,5,631
0,27,6,266
0,27,7,289
0,27,8,458
0,27,9,787
0,28,0,232
0,28,1,300
0,28,2,474
0,28,3,463
0,28,4,215
0,28,5,490
0,28,6,505
0,28,7,206
0,28,8,924
0,28,9,994
0,29,0,606
0,29,1,26
0,29,2,877
0,29,3,532
0,29,4,339
0,29,5,975
0,29,6,548
0,29,7,811
0,29,8,653
0,29,9,692
0,30,0,236
0,30,1,164
0,30,2,519
0,30,3,553
0,30,4,50
0,30,5,149
0,30,6,688
0,30,7,644
0,30,8,199
0,30,9,64
0,31,0,704
0,31,1,445
0,31,2,274
0,31,3,779
0,31,4,332
0,31,5,722
0,31,6,437
0,31,7,334
0,31,8,948
0,31,9,181
0,32,0,510
0,32,1,262
0,32,2,825
0,32,3,663
0,32,4,871
0,32,5,366
0,32,6,917
0,32,7,182
0,32,8,2
0,32,9,404
0,33,0,230
0,33,1,187
0,33,2,756
0,33,3,926
0,33,4,68
0,33,5,726
0,33,6,712
0,33,7,762
0,33,8,849
0,33,9,703
0,34,0,240
0,34,1,886
0,34,2,934
0,34,3,255
0,34,4,772
0,34,5,901
0,34,6,554
0,34,7,462
0,34,8,866
0,34,9,759
0,35,0,41
0,35,1,785
0,35,2,815
0,35,3,172
0,35,4,736
0,35,5,727
0,35,6,624
0,35,7,315
0,35,8,897
0,35,9,878
0,36,0,269
0,36,1,828
0,36,2,73
0,36,3,419
0,36,4,820
0,36,5,953
0,36,6,612
0,36,7,400
0,36,8,936
0,36,9,489
0,37,0,427
0,37,1,609
0,37,2,209
0,37,3,613
0,37,4,312
0,37,5,199
0,37,6,206
0,37,7,158
0,37,8,123
0,37,9,117
0,38,0,914
0,38,1,172
0,38,2,267
0,38,3,432
0,38,4,705
0,38,5,743
0,38,6,440
0,38,7,838
0,38,8,175
0,38,9,807
0,39,0,110
0,39,1,893
0,39,2,204
0,39,3,461
0,39,4,184
0,39,5,816
0,39,6,986
0,39,7,209
0,39,8,371
0,39,9,790
0,40,0,135
0,40,1,941
0,40,2,560
0,40,3,725
0,40,4,451
0,40,5,31
0,40,6,531
0,40,7,322
0,40,8,598
0,40,9,744
0,41,0,691
0,41,1,373
0,41,2,258
0,41,3,676
0,41,4,790
0,41,5,791
0,41,6,971
0,41,7,456
0,41,8,540
0,41,9,305
0,42,0,473
0,42,1,85
0,42,2,97
0,42,3,782
0,42,4,139
0,42,5,810
0,42,6,875
0,42,7,697
0,42,8,632
0,42,9,49
0,43,0,738
0,43,1,137
0,43,2,614
0,43,3,667
0,43,4,922
0,43,5,377
0,43,6,95
0,43,7,414
0,43,8,432
0,43,9,159
0,44,0,766
0,44,1,464
0,44,2,13
0,44,3,369
0,44,4,879
0,44,5,407
0,44,6,782
0,44,7,920
0,44,8,832
0,44,9,308
0,45,0,997
0,45,1,706
0,45,2,495
0,45,3,596
0,45,4,785
0,45,5,730
0,45,6,121
0,45,7,544
0,45,8,504
0,45,9,234
0,46,0,631
0,46,1,637
0,46,2,367
0,46,3,512
0,46,4,590
0,46,5,499
0,46,6,852
0,46,7,624
0,46,8,237
0,46,9,41
0,47,0,22
0,47,1,525
0,47,2,730
0,47,3,253
0,47,4,102
0,47,5,900
0,47,6,164
0,47,7,7
0,47,8,66
0,47,9,682
0,48,0,698
0,48,1,572
0,48,2,235
0,48,3,379
0,48,4,256
0,48,5,440
0,48,6,118
0,48,7,213
0,48,8,992
0,48,9,938
0,49,0,544
0,49,1,304
0,49,2,772
0,49,3,108
0,49,4,179
0,49,5,551
0,49,6,586
0,49,7,371
0,49,8,308
